ID,Name,Type,Section,Muscle,Equipment,Difficulty,Instructions,Sets,Reps,RestTime
1,Push-Up,Strength,Upper Body,"Chest, Triceps",Bodyweight,Beginner,"Start in a high plank with hands slightly wider than shoulders. Lower chest near the floor, then push back up. Keep core tight.",3,10,60s
2,Bench Press,Strength,Upper Body,Chest,Barbell,Intermediate,"Lie flat on bench, grip bar shoulder-width. Lower bar to chest, press upward until arms fully extended.",4,10,90s
3,Incline Dumbbell Press,Strength,Upper Body,Chest,Dumbbell,Intermediate,"Sit on incline bench holding dumbbells. Press weights upward until arms extend, then lower to chest level.",4,10,90s
4,Chest Fly,Strength,Upper Body,Chest,Dumbbell / Machine,Beginner-Intermediate,"Lie on bench with dumbbells overhead. Lower arms wide in an arc, keeping slight bend in elbows, then bring them back together.",3,12,60s
5,Cable Crossover,Strength,Upper Body,Chest,Cable Machine,Intermediate,"Stand between cables, arms extended out. Pull handles forward in a hugging motion until hands meet, then return slowly.",4,12,90s
6,Decline Press,Strength,Upper Body,Chest,Barbell / Dumbbell,Intermediate,"Lie on decline bench. Lower bar/dumbbells to chest, then press upward until arms are extended.",4,10,90s
7,Machine Chest Press,Strength,Upper Body,Chest,Machine,Beginner,"Sit with back on pad. Push handles forward until arms extend, then return slowly to start.",3,10,60s
8,Wide Push-Up,Strength,Upper Body,Chest,Bodyweight,Beginner,"Place hands wider than shoulders in push-up position. Lower chest close to ground, then push back up.",3,12,60s
9,Clap Push-Up,Plyometric,Upper Body,Chest,Bodyweight,Advanced,"Perform explosive push-up, clap hands mid-air, and land back softly into push-up position.",5,8,120s
10,Dumbbell Pullover,Strength,Upper Body,"Chest, Lats",Dumbbell,Intermediate,"Lie on bench holding dumbbell overhead. Lower behind head with arms straight, then pull back to starting position.",4,10,90s
11,Pull-Up,Strength,Mix,"Back, Biceps",Pull-Up Bar,Intermediate,"Grip bar palms out. Pull body upward until chin clears bar, then lower under control.",4,10,90s
12,Chin-Up,Strength,Mix,"Back, Biceps",Pull-Up Bar,Intermediate,"Grip bar palms facing you. Pull body upward until chin clears bar, then lower slowly.",4,10,90s
13,Lat Pulldown,Strength,Core,Back,Cable Machine,Beginner-Intermediate,"Sit at machine, grip bar wide. Pull bar down to chest while squeezing lats, then return slowly upward.",3,12,60s
14,Seated Row,Strength,Core,Back,Cable Machine,Intermediate,"Sit with feet on platform, pull handles toward torso, then extend arms back under control.",4,10,90s
15,One-Arm Dumbbell Row,Strength,Core,Back,Dumbbell,Intermediate,"Place one knee on bench, pull dumbbell toward torso keeping back flat, then lower slowly.",4,10,90s
16,Barbell Row,Strength,Core,Back,Barbell,Intermediate,"Bend forward with flat back. Pull bar toward waist, then lower with control.",4,10,90s
17,T-Bar Row,Strength,Core,Back,T-Bar Machine,Intermediate,"Stand over T-bar, grip handles, pull weight to chest, then lower slowly.",4,10,90s
18,Inverted Row,Strength,Core,Back,Bodyweight,Beginner,"Lie under bar, grip overhead, pull chest to bar, then lower under control.",3,10,60s
19,Good Morning,Strength,Mix,"Back, Hamstrings",Barbell,Advanced,"Place bar on shoulders, hinge hips forward until torso is near parallel, then return upright.",5,8,120s
